,기업명,매출액,순이익,구주매출,희망공모가액,청약경쟁률,확정공모가
0,수산인더스트리," 294,111 (백만원)"," 53,318 (백만원)"," 신주모집 : 4,286,000 주 (75%)
	/  구주매출 : 1,429,000 주 (25%)    ","  35,000 ~ 43,100 원", 3.39:1 (비례 7:1) ,"35,000원"
1,에이프릴바이오, - (백만원)," -10,220 (백만원)"," 신주모집 : 1,620,000 주 (100%)
	    ","  20,000 ~ 23,000 원", 4.76:1 (비례 10:1) ,"16,000원"
2,신한스팩10호, - (백만원), - (백만원)," 신주모집 : 3,250,000 주 (100%)
	    ","  2,000 ~ 2,000 원", 132.38:1 (비례 265:1) ,"2,000원"
3,아이씨에이치," 24,167 (백만원)"," 2,428 (백만원)"," 신주모집 : 1,035,000 주 (87.71%)
	/  구주매출 : 145,000 주 (12.29%)    ","  34,000 ~ 44,000 원", 2.51:1 (비례 5:1) ,"34,000원"
4,성일하이텍," 65,939 (백만원)"," -2,998 (백만원)"," 신주모집 : 2,670,000 주 (100%)
	    ","  40,700 ~ 47,500 원", 1207.1:1 (비례 2414:1) ,"50,000원"
5,IBKS스팩18호, - (백만원), - (백만원)," 신주모집 : 4,000,000 주 (100%)
	    ","  2,000 ~ 2,000 원", 437.85:1 (비례 876:1) ,"2,000원"
6,루닛," 1,430 (백만원)"," -83,739 (백만원)"," 신주모집 : 1,214,300 주 (100%)
	    ","  44,000 ~ 49,000 원", 8.99:1 (비례 18:1) ,"30,000원"
7,대신밸런스12호스팩, - (백만원), - (백만원)," 신주모집 : 5,000,000 주 (100%)
	    ","  2,000 ~ 2,000 원", 151.42:1 (비례 303:1) ,"2,000원"
8,에이치피에스피," 61,174 (백만원)"," 17,658 (백만원)"," 신주모집 : 3,000,000 주 (100%)
	    ","  23,000 ~ 25,000 원", 1159.05:1 (비례 2318:1) ,"25,000원"
9,영창케미칼," 60,760 (백만원)"," 2,506 (백만원)"," 신주모집 : 2,000,000 주 (83.33%)
	/  구주매출 : 400,000 주 (16.67%)    ","  15,000 ~ 18,600 원", 682.13:1 (비례 1364:1) ,"18,600원"
10,코난테크놀로지," 14,001 (백만원)"," 1,488 (백만원)"," 신주모집 : 1,200,000 주 (100%)
	    ","  21,000 ~ 25,000 원", 1386.86:1 (비례 2774:1) ,"25,000원"
