,cor_name,title
0,대성하이텍,쏘카·대성하이텍 상장 첫날 180도 다른 성적표
1,대성하이텍,"일반청약 흥행 이어갈까… 대성하이텍, 22일 코스닥시장 입성"
2,대성하이텍,다음 주 IPO는? 쏘카·대성하이텍 22일 상장
3,대성하이텍,"새내기도 '태조이방원'…대성하이텍, 코스닥 데뷔전서 웃었다"
4,대성하이텍,"대성하이텍, 코스닥시장 연착륙…`2차전지주` 흥행 이어갈까"
5,대성하이텍,"쏘카, 상장 첫날 공모가 하회…‘1조 원 클럽’ 입성도 실패"
6,대성하이텍,[주간IPO] 쏘카·대성하이텍 신규상장
7,대성하이텍,"[돌격! 종목 맞수] 대성하이텍은 되고 쏘카는 안 되고…엇갈린 IPO 반응, 이유..."
8,대성하이텍,"[22일 특징주] 사료주, 곡물 수입 가격 3분기 고점 전망에 '동반 상승'…쏘카..."
9,대성하이텍,㈜대성하이텍 코스닥 상장 예정…2018년 이후 첫 지역기업 상장
0,대성하이텍,"쏘카 공모주ㆍ대성하이텍 공모주 일정, 8월의 공모주 시장 뜨거울까"
1,대성하이텍,"[IPO] 대성하이텍, 이달 상장...""글로벌 초정밀 스마트 머시닝 기업 도약"""
2,대성하이텍,[8월 공모주] 대성하이텍 수요예측 결과는? 공모가·상장일·주관사
3,대성하이텍,"정밀부품 제조업체 대성하이텍, 이달 22일 코스닥 입성"
4,대성하이텍,"2차전지 출사표, 이번엔 '대성하이텍'"
5,대성하이텍,"다음주 공모주 시장 쏘카 대성하이텍 동시 출격, 기대와 우려 교차"
6,대성하이텍,"[더벨][IPO 모니터]대성하이텍, 공모가밴드 최상단 뚫었다"
7,대성하이텍,[8월6일자] 비즈니스포스트 아침의 주요기사
8,대성하이텍,<메트로신문 8월 5일자 한줄뉴스>
9,대성하이텍,[Re워치뉴스] 증시 침체 속 기업공개(IPO) 동상이몽
0,대성하이텍,"'차량공유 1위' 쏘카, '정밀기계부품 강자' 대성하이텍 일반청약"
1,대성하이텍,"하반기 IPO '가늠자' 쏘카, 수요예측 결과는? 이번주 공모청약"
2,대성하이텍,[공시줍줍]공모주달력 8월 8~12일
3,대성하이텍,"[DD주간브리핑] 美中 갈등 심화, 韓 경제 ‘노심초사’…윤 대통령, 이재용 부..."
4,대성하이텍,[이번 주 IPO] 8월 둘째 주 수요예측·청약 일정
5,대성하이텍,"[증시캘린더]이번주(8월2주)에이치와티씨 상장, 쏘카 공모 등"
6,대성하이텍,"출격하는 쏘카, 공모주 투심 되살릴까"
0,대성하이텍,"22일 코스닥 상장 대성하이텍, 공모가 최상단 9000원 확정"
1,대성하이텍,"이번주 공모주 청약, 쏘카·대성하이텍 등 2개사"
2,대성하이텍,[주린이의 공모주] 쏘카·대성하이텍 출격…투자자 선택은?
3,대성하이텍,"[증권소식] 메리츠증권, 상반기 순이익 4408억원...전년비 9.7%↑/대성하이텍..."
4,대성하이텍,[8월 둘째 주 공모주 일정] 대성하이텍·쏘카까지... 8월 둘째 주 공모주 한눈...
5,대성하이텍,"[더벨][IPO 모니터]대성하이텍, 공모자금으로 재무구조 개선 노린다"
