,cor_name,title
0,대성하이텍,"대성하이텍, 일반 청약증거금 4조원…쏘카, 첫날 경쟁률 3대1(종합)"
1,대성하이텍,"대성하이텍, 수요예측 이어 일반청약도 '흥행'… 코스닥 입성 청신호"
2,대성하이텍,[공시줍줍]신규상장기업이력서-대성하이텍
3,대성하이텍,"대성하이텍, 공모가 9000원 확정…22일 코스닥 상장"
4,대성하이텍,코스닥 입성 대성하이텍 “공모자금 투입해 전기차·방산용 정밀 부품 설비 투...
5,대성하이텍,[공다방] 증거금 4조 몰린 대성하이텍…'흥행 대박' 비결은?
6,대성하이텍,쏘카 청약 증거금 1834억 그쳐…경쟁률 14대1 수준(종합)
7,대성하이텍,"이번주 공모주 청약, 쏘카·대성하이텍 등 2개사"
8,대성하이텍,"대성하이텍, 공모주 청약 마감...확정 공모가는?"
9,대성하이텍,"대성하이텍, 일반청약 경쟁률 1136대1... 수요예측·공모가·상장일은?"
0,대성하이텍,"쏘카 공모주ㆍ대성하이텍 공모주 일정, 8월의 공모주 시장 뜨거울까"
1,대성하이텍,"[IPO] 대성하이텍, 이달 상장...""글로벌 초정밀 스마트 머시닝 기업 도약"""
2,대성하이텍,"정밀부품 제조업체 대성하이텍, 이달 22일 코스닥 입성"
3,대성하이텍,"2차전지 출사표, 이번엔 '대성하이텍'"
4,대성하이텍,"다음주 공모주 시장 쏘카 대성하이텍 동시 출격, 기대와 우려 교차"
5,대성하이텍,[8월 공모주] 대성하이텍 수요예측 결과는? 공모가·상장일·주관사
6,대성하이텍,"[더벨][IPO 모니터]대성하이텍, 공모가밴드 최상단 뚫었다"
7,대성하이텍,[8월6일자] 비즈니스포스트 아침의 주요기사
8,대성하이텍,<메트로신문 8월 5일자 한줄뉴스>
9,대성하이텍,[Re워치뉴스] 증시 침체 속 기업공개(IPO) 동상이몽
0,대성하이텍,"'차량공유 1위' 쏘카, '정밀기계부품 강자' 대성하이텍 일반청약"
1,대성하이텍,"하반기 IPO '가늠자' 쏘카, 수요예측 결과는? 이번주 공모청약"
2,대성하이텍,[공시줍줍]공모주달력 8월 8~12일
3,대성하이텍,"[DD주간브리핑] 美中 갈등 심화, 韓 경제 ‘노심초사’…윤 대통령, 이재용 부..."
4,대성하이텍,[이번 주 IPO] 8월 둘째 주 수요예측·청약 일정
5,대성하이텍,"[증시캘린더]이번주(8월2주)에이치와티씨 상장, 쏘카 공모 등"
6,대성하이텍,"출격하는 쏘카, 공모주 투심 되살릴까"
0,대성하이텍,"대성하이텍 수요예측 경쟁률 1,935대 1…공모가 9천원 결정"
1,대성하이텍,"이번주 공모주 청약, 쏘카·대성하이텍 등 2개사"
2,대성하이텍,[주린이의 공모주] 쏘카·대성하이텍 출격…투자자 선택은?
3,대성하이텍,"[증권소식] 메리츠증권, 상반기 순이익 4408억원...전년비 9.7%↑/대성하이텍..."
4,대성하이텍,[8월 둘째 주 공모주 일정] 대성하이텍·쏘카까지... 8월 둘째 주 공모주 한눈...
5,대성하이텍,"[더벨][IPO 모니터]대성하이텍, 공모자금으로 재무구조 개선 노린다"
6,대성하이텍,[이번주 증시 캘린더] 코스피 대어 쏘카 공모 청약…에이치와이티씨 신규상장
